"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"62","physiology",181,10,3,11,1,193.1,193,"T",1917.6,11.2,0.0618,44.3,192.1,0.769,2.83,3.957597173,6.39,0.0297,39.2,174.6,0.776,1.43,4.468531469,2.83,0.0151,50.6,184.1,0.725,0.685,4.131386861,3.18,0.0147,56.4,203.9,0.723,0.628,5.063694268,9.3,0.0533,46.9,166.6,0.718,1.96,4.744897959,3.15,0.0238,49.5,205.7,0.76,0.845,3.727810651,6.00833333333333,0.0330666666666667,0.745166666666667,1.39633333333333,4.34898639683333,11.2,0.0618,0.776,2.83,5.063694268
"63","physiology",184,25,1,4,2,256.1,256,"K",531.6,13.3,0.19,42.0079207920792,171.542,0.741,7.46,4.25537511213684,21,0.106,37.3,165,0.774,4.78,4.393305439,27.6,0.198,61,253.3,0.759,3.78150485436893,3.575129534,18.7,0.15,71.4,277.1,0.742,5.43,3.443830571,8.24,0.0912,73,311.5,0.766,3.37,2.445103858,11.5,0.0519,76.3,328.5,0.768,1.73,6.647398844,16.7233333333333,0.131183333333333,0.758333333333333,4.42525080906149,4.12669055968947,27.6,0.198,0.774,7.46,6.647398844
"64","physiology",190,20,3,13,3,176.2,176,"T",1883.4,26.5,0.155,30.9,124.8,0.752,6,4.416666667,22.9,0.152,46.2,203.1,0.772,6.55,3.496183206,14.4,0.102,64.4,272.4,0.763,4.08,3.529411765,20.5,0.145,69.9,269.6,0.741,5.19,3.949903661,13.2,0.0725,73.8,279.9,0.736,2.72,4.852941176,10.5,0.0603,85.1,390.3,0.782,1.95,5.384615385,18,0.114466666666667,0.757666666666667,4.415,4.27162031,26.5,0.155,0.782,6.55,5.384615385
"65","physiology",196,15,3,12,5,193.3,193,"T",2598.1,11.4,0.0548,49,207.2,0.764,2.36,4.830508475,1.86,0.0151,45.3,200.5,0.774,0.733,2.537517053,17.9,0.0927,52.9,216.7,0.756,4.02,4.452736318,18.4,0.0842,51.4,200.8,0.744,3.23,5.696594427,13.5,0.0831,64.6,224.2,0.712,2.99,4.515050167,7.66,0.0415,80.3,328.3,0.755,1.36,5.632352941,11.7866666666667,0.0619,0.750833333333333,2.44883333333333,4.61079323016667,18.4,0.0927,0.774,4.02,5.696594427
"66","physiology",197,25,3,14,5,154.5,154,"T",1177,15.6,0.0727,51.5,232.7,0.778,3.29,4.741641337,28.3,0.159,58.4,269.5,0.783,6.77,4.180206795,16.1,0.105,47.8,212.9,0.775,4.28,3.761682243,25.4,0.154,67.5029126213592,260.334951456311,0.762,5.29,4.801512287,16.4,0.072,103.3,434.2,0.762,2.65,6.188679245,24.4,0.115,96.6,446.5,0.784,3.47,7.031700288,21.0333333333333,0.11295,0.774,4.29166666666667,5.11757036583333,28.3,0.159,0.784,6.77,7.031700288
"67","physiology",202,15,2,7,2,221.1,221,"B",907.8,6.3,0.0364,43.7,167.9,0.739,1.94,3.24742268,2.35,0.0117,65.6,271,0.758,0.598,3.929765886,17.4,0.112,76.2,324.2,0.765,4.76,3.655462185,17.2,0.0917,63.9,233.5,0.726,3.47,4.956772334,17.5,0.0766,77.6,336.4,0.769,2.79,6.272401434,15.9,0.0873,84.2,336.3,0.75,2.7,5.888888889,12.775,0.0692833333333333,0.751166666666667,2.70966666666667,4.65845223466667,17.5,0.112,0.769,4.76,6.272401434
"68","physiology",204,15,2,7,4,230.2,230,"A",2932.4,17.4,0.0832,46.4,193.1,0.76,4.09,4.254278729,9.87,0.0567,46.9979591836735,296.1,0.75,2.77,3.563176895,5.77,0.0341,69.9,282,0.752,1.58,3.651898734,20.9,0.0986,63.1,263.3,0.76,3.81,5.485564304,20,0.128,65.8,256.2,0.743,4.39,4.555808656,13.4,0.0845,93.6,378.9,0.753,2.63,5.095057034,14.5566666666667,0.08085,0.753,3.21166666666667,4.434297392,20.9,0.128,0.76,4.39,5.485564304
"69","physiology",205,10,2,6,3,246.3,246,"A",1631.8,7.57,0.0234,38.7,149.1,0.74,1.28,5.9140625,3.15,0.0459,53.1,199,0.733,2.23,4.26554489883495,2.13,0.0214,58.4,223.2,0.738,1.04,2.048076923,3.93,0.0256,36.1,136.2,0.735,1.1,3.572727273,14.0769902912621,0.0833019801980198,37.8,126.9,0.742333333333333,2.93492079207921,4.96089014540404,6.17,0.024,44.6,175.9,0.747,0.795,7.761006289,6.17116504854369,0.03726699669967,0.739222222222222,1.5633201320132,4.75371800487317,14.0769902912621,0.0833019801980198,0.747,2.93492079207921,7.761006289
"70","physiology",207,15,2,7,3,248.1,248,"N",1705.3,11.5,0.0742,47.4,185.7,0.745,3.41,3.372434018,9.38,0.0433,51.4,210.7,0.756,2.13,4.403755869,11.5,0.0681,70.7,285.8,0.753,3.11,3.697749196,13.9,0.102,54,231,0.766,4.13,3.365617433,21.1,0.0946,44.6,161.2,0.723,3.36,6.279761905,18.9,0.0871,108.5,446.1,0.757,2.65,7.132075472,14.38,0.0782166666666667,0.75,3.13166666666667,4.70856564883333,21.1,0.102,0.766,4.13,7.132075472
"71","physiology",208,25,2,9,4,228.4,228,"N",1294.6,15.5,0.208,31.7,138.9,0.772,4.34032673267327,1.810747664,23.5,0.146,67.2,296.5,0.773,6.22,3.778135048,30.5,0.191,60,241,0.751,3.78150485436893,4.013157895,21.8,0.128,96.2,395.3,0.757,4.82,4.522821577,15.5,0.0902,110.2,421.8,0.739,3.33,4.654654655,21.2,0.112,102.8,425.5,0.758,3.38,6.272189349,21.3333333333333,0.145866666666667,0.758333333333333,4.3119719311737,4.17528436466667,30.5,0.208,0.773,6.22,6.272189349
"72","physiology",211,10,3,11,5,176.4,176,"T",1406.3,6.61,0.042,43.2,195.4,0.779,1.79,3.69273743,2.81,0.0245,52.9,226.9,0.767,1.2,2.341666667,2.55,0.0162,72.7,303.4,0.761,0.777,3.281853282,4.93,0.0305,62.6,247.2,0.747,1.31,3.763358779,11.8,0.0501,60.2,210.9,0.715,1.98,5.95959596,11.1,0.0459,68.7,293.2,0.766,1.41,7.872340426,6.63333333333333,0.0348666666666667,0.755833333333333,1.41116666666667,4.48525875733333,11.8,0.0501,0.779,1.98,7.872340426
"73","physiology",217,20,1,3,3,165.1,165,"K",735.4,12.5,0.0992,41.1,166.5,0.753,3.88,3.221649485,12.2,0.109,49.4,213.4,0.768,4.61,2.646420824,15.7,0.0986,54.8,225.8,0.757,4.55,3.450549451,21.7,0.139,60.2,263.9,0.772,5.56,3.902877698,13.9,0.0718,74.2,320.1,0.768,2.83,4.911660777,10.8,0.0623,75.4,319.3,0.764,2.06,5.242718447,14.4666666666667,0.09665,0.763666666666667,3.915,3.895979447,21.7,0.139,0.772,5.56,5.242718447
"74","physiology",220,30,3,15,4,194.2,194,"T",2067.1,29.7,0.189,63.3,171.542,0.772,6.83,4.348462665,24.4,0.15,44.4,190.7,0.767,6.45,3.782945736,10.9,0.0675,91.6,348.4,0.737,3.12,3.493589744,14.4,0.109,81.8,306.9,0.734,4.33,3.325635104,10.7,0.0494,87.8,350,0.749,1.93,5.544041451,20.5,0.102,95,415.8,0.771,2.94,6.972789116,18.4333333333333,0.11115,0.755,4.26666666666667,4.577910636,29.7,0.189,0.772,6.83,6.972789116
"75","physiology",230,10,2,6,6,246.5,246,"A",1666.7,26.2,0.167,38.3,154.5,0.752,6.63,3.95173454,5.89,0.0346,37.9,165,0.77,1.69,3.485207101,6.83,0.0351,54.8,144.8,0.755176470588235,1.69,4.041420118,6.68,0.0418,57.8,181.7,NA,1.87,3.572192513,5.2,0.029,50.3,157.9,0.742333333333333,1.15,4.52173913,2.24,0.024,47.6,194.2,0.755,0.778,2.879177378,8.84,0.05525,0.754901960784314,2.30133333333333,3.74191179666667,26.2,0.167,0.77,6.63,4.52173913
"76","physiology",231,15,2,7,6,230.4,230,"A",853.7,18,0.119,39.2,151.5,0.741,4.83,3.726708075,3.09,0.0133,51.7,232.5,0.778,0.63,4.904761905,19.2,0.0832,68,263.2,0.742,3.75,5.12,22.7,0.12,65,270.4,0.76,5.01,4.530938124,14.5,0.0891,60.6,245.2,0.753,3.48,4.166666667,10.4,0.0502,95.5,380.7,0.749,1.61,6.459627329,14.6483333333333,0.0791333333333333,0.753833333333333,3.21833333333333,4.81811701666667,22.7,0.12,0.778,5.01,6.459627329
"77","physiology",233,30,2,10,6,231.5,231,"M",1572.9,19.8,0.139,54.4,228.1,0.762,5.51,3.593466425,13.9,0.0727,46.9,200,0.766,3.38,4.112426036,18.4,0.129,77.9,286,0.728,5.42,3.394833948,18.8,0.113,80.3,254.4,NA,4.8,3.916666667,18.7,0.111,90.8,366.5,0.752,4.1,4.56097561,16.4,0.0958,95.8,416.8,0.77,2.97,5.521885522,17.6666666666667,0.110083333333333,0.7556,4.36333333333333,4.18337570133333,19.8,0.139,0.77,5.51,5.521885522
"78","physiology",234,30,3,15,7,182.5,182,"S",2054,17.2734951456311,0.112794174757282,43.1,196.1,0.78,8.16,4.87745098,24.9,0.15,66.6,308.5,0.784,6.3,3.952380952,19.7,0.123,66.4,221,0.755176470588235,5.15,3.825242718,15,0.0842,76.1,259.1,0.706,3.74,4.010695187,9.35,0.0435,76.9,252.9,0.742333333333333,1.68,5.56547619,19.9,0.0935,78.2,330.4,0.763,2.77,7.184115523,17.6872491909385,0.10116569579288,0.755084967320261,4.63333333333333,4.90256025833333,24.9,0.15,0.784,8.16,7.184115523
