"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"1","physiology",1,30,1,5,6,167.5,167,"L",700.8,15.2,0.102,42.9,175.2,0.755,3.38,4.49704142,29.2,0.16,57.9,246.8,0.765,5.62,5.195729537,21.7,0.104977623762376,65.1,272.4,0.761,1.15,4.208995814875,18.4,0.191,63.9,242.2,0.736,8.62,2.134570766,14.7,0.0921,64.3,259.5,0.752,1.93,4.96089014540404,28.5,0.2,56.6,233.3,0.758,4.92,5.792682927,21.2833333333333,0.141679603960396,0.7545,4.27,4.46498510171317,29.2,0.2,0.765,8.62,5.792682927
"2","physiology",2,30,3,15,3,183.2,183,"H",864.6,28.3,0.134,30.2,126.2,0.761,4.22,4.25537511213684,22.8,0.145,36.8,131.6,0.763584158415842,5.31,4.293785311,16.7,0.104977623762376,74.7,269.6,0.723,2.63,6.349809886,14.5,0.0829,75.3,251.8,0.701,4.27,3.395784543,7.35,0.048,71.4,290.1,0.754,1.28,5.7421875,27.4,0.169,83.3,367.9,0.774,4.36,6.28440367,19.5083333333333,0.113979603960396,0.746097359735974,3.67833333333333,5.05355767035614,28.3,0.169,0.774,5.31,6.349809886
"3","physiology",4,30,2,10,1,226.1,226,"C",1367.1,25,0.115,44.4,173,0.743,3.82,4.25537511213684,23.6,0.119,38.8,164,0.763,4.41,5.351473923,13.4,0.104977623762376,73.8,285.4,0.741,7,1.914285714,19.4,0.115,81.5,314.1,0.74,5.94,3.265993266,10.9,0.0801,71.2,281.3,0.747,2.09,5.215311005,23.4,0.123,81.7,345.2,0.763,3.25,7.2,19.2833333333333,0.109512937293729,0.7495,4.41833333333333,4.53373983668947,25,0.123,0.763,7,7.2
"4","physiology",8,20,1,3,1,166.1,166,"L",659.1,15.3,0.0987,42.0079207920792,171.542,0.758,3.27,4.678899083,9.27,0.0868,46.9979591836735,203.307843137255,0.771,3.13,2.961661342,17.6,0.104977623762376,49.1,204.6,0.76,7.04,2.5,19.6,0.157,72.2,287.7,0.749,7.8,2.512820513,22.6,0.133,79.4,336.2,0.764,3.34,6.766467066,16.1,0.0848,68.9,295.2,0.767,2.22,7.252252252,16.745,0.110879603960396,0.7615,4.46666666666667,4.44535004266667,22.6,0.157,0.771,7.8,7.252252252
"5","physiology",12,10,2,6,4,247.4,247,"L",1777.1,20.2,0.107,38.2,146.3,0.739,3.81,5.30183727,8.24,0.0387,39.1,141.7,0.763584158415842,1.49,5.530201342,12.2,0.115,64.1,228.2,0.719,2.72,4.485294118,5.39,0.0432,59.3,180.4,NA,2.52,2.138888889,13.8,0.0847,55,217.1,0.747,2.21,6.244343891,8.35,0.0381,47,187.7,0.749,0.981,8.511722732,11.3633333333333,0.0711166666666667,0.743516831683168,2.2885,5.368714707,20.2,0.115,0.763584158415842,3.81,8.511722732
"6","physiology",15,30,1,5,7,259.6,259,"D",251.1,13.8,0.0968,36.3,147.6,0.754,3.3,4.181818182,12.1,0.082,49.4,193.5,0.745,3.18,3.805031447,11.8,0.17,59.3,237.4,0.75,4.24,2.783018868,12.6,0.112,55.3,193.4,0.714,6,2.1,8.24,0.105,61.4,233.6,0.737,2.75,2.996363636,20.9,0.119,63.9,269.6,0.763,2.74,7.627737226,13.24,0.114133333333333,0.743833333333333,3.70166666666667,3.91566155983333,20.9,0.17,0.763,6,7.627737226
"7","physiology",22,30,1,5,4,259.4,259,"D",947.5,13.3,0.0735,41.7,163.8,0.746,2.51,5.298804781,22.1,0.163,49.8,197.4,0.748,5.8,3.810344828,17.3,0.183,53,194.8,0.728,4.72,3.665254237,6.27,0.0603,54,191.8,0.718,3.56,1.761235955,5.05,0.0833019801980198,74.2,300.2,0.753,4.08,4.96089014540404,19.5,0.182,59.9,242.7,0.753,3.78,5.158730159,13.92,0.124183663366337,0.741,4.075,4.10921001756734,22.1,0.183,0.753,5.8,5.298804781
"8","physiology",25,25,1,4,1,252.1,252,"D",1873.4,11.2,0.0534,51,198.5,0.743,1.92,5.833333333,10.7,0.0662,46.9979591836735,313.4,0.765,2.55,4.196078431,23,0.119,63.3565656565657,253.828571428571,0.773,3.14,7.324840764,15.4199029126214,0.101682403846154,94.3,400.1,0.764,4.54169230769231,3.076923077,9.52,0.146,85.1,335.8,0.746,3.9,2.441025641,18.8,0.158,84.7,367.1,0.769,3.31,5.679758308,14.7733171521036,0.107380400641026,0.76,3.22694871794872,4.75865992566667,23,0.158,0.773,4.54169230769231,7.324840764
"9","physiology",28,15,3,12,7,183.4,183,"H",1138.5,16.3,0.0972,51.1,225.5,0.774,3.53,4.617563739,7.31,0.0333,44.5,180.6,0.754,1.36,5.375,22.8,0.159,69.8,310.9,0.775,4.21,5.41567696,16.2,0.0963,76.6,298,0.743,5.54,2.924187726,16.4,0.0838,94.9,379.9,0.75,2.41,6.804979253,17.4,0.0748,84,358.5,0.766,1.7,10.23529412,16.0683333333333,0.0907333333333333,0.760333333333333,3.125,5.89545029966667,22.8,0.159,0.775,5.54,10.23529412
"10","physiology",36,30,1,5,1,157.1,157,"E",1623.7,11.1,0.0689,39.3,151.8,0.741,2.46,4.512195122,19.9,0.126,38.3,138.3,0.763584158415842,4.71,4.225053079,16.4,0.132,42.4,179.6,0.764,3.56,4.606741573,16.5,0.136,48.5,198.7,0.756,7.43,2.220726783,12,0.103,63,245.6,0.744,2.98,4.026845638,19.4,0.13,70.7,287.3,0.754,2.75,7.054545455,15.8833333333333,0.115983333333333,0.75376402640264,3.98166666666667,4.44101794166667,19.9,0.136,0.764,7.43,7.054545455
"11","physiology",37,30,3,15,6,183.5,183,"H",1125.8,21.5,0.124,32.9,134.8,0.756,4.36,4.931192661,14,0.0814,54.5,231.5,0.765,3.21,4.361370717,10.6,0.076,70.1,236.2,0.755176470588235,2.09,5.071770335,10,0.0635,64.9,192.9,NA,3.92,2.551020408,12.4,0.0612,70.7,283.5,0.751,1.9,6.526315789,23.2,0.106,76.3,342.8,0.777,2.29,10.13100437,15.2833333333333,0.08535,0.760835294117647,2.96166666666667,5.59544571333333,23.2,0.124,0.777,4.36,10.13100437
