measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,202,15,2,7,2,221.1,221,B,907.80000,1.23000,4.89000,1.00000,8.35000,12.50000,1.00000,6.12000,20.85000,26.97000,3.40686,33.10000,44.00000,9.53750,47.20000,1.86667,50.90000,3.70000,46.80000,-4.78333,66.00000,19.20000
physiology,207,15,2,7,3,248.1,248,N,1705.30000,2.53000,2.73000,1.00000,5.28000,0.00000,0.00000,5.26000,5.28000,10.54000,1.00380,45.70000,61.90000,14.17500,84.50000,13.18333,94.80000,10.30000,111.50000,19.48333,143.90000,32.40000
physiology,204,15,2,7,4,230.2,230,A,2932.40000,1.80000,1.75000,1.00000,5.21000,0.00000,0.00000,3.55000,5.21000,8.76000,1.46761,42.50000,40.60000,-1.66250,43.70000,1.80833,45.40000,1.70000,49.30000,4.55000,57.90000,8.60000
physiology,282,15,2,7,5,229.3,229,M,728.90000,1.45000,4.74000,1.00000,6.89000,0.00000,0.00000,6.19000,6.89000,13.08000,1.11309,38.30000,33.30000,-4.37500,49.80000,9.62500,52.00000,2.20000,53.80000,2.10000,67.20000,13.40000
physiology,231,15,2,7,6,230.4,230,A,853.70000,1.24000,5.03000,1.00000,5.43000,0.00000,0.00000,6.27000,5.43000,11.70000,0.86603,31.50000,22.50000,-7.87500,22.40000,-0.05833,30.30000,7.90000,37.00000,7.81667,45.00000,8.00000
physiology,324,15,2,7,7,229.4,229,N,1037.10000,0.98000,4.10000,1.00000,3.94000,0.00000,0.00000,5.08000,3.94000,9.02000,0.77559,37.80000,48.80000,9.62500,54.90000,3.55833,57.50000,2.60000,58.40000,1.05000,70.60000,12.20000
physiology,127,20,2,8,1,244.1,244,C,1272.90000,5.14000,4.36000,1.00000,10.78000,0.00000,0.00000,9.50000,10.78000,20.28000,1.13474,48.20000,21.10000,-23.71250,22.30000,0.70000,32.60000,10.30000,42.60000,11.66667,54.40000,11.80000
physiology,278,20,2,8,2,225.1,225,M,1402.40000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.50000,36.30000,-14.17500,38.00000,0.99167,50.80000,12.80000,57.50000,7.81667,66.60000,9.10000
physiology,140,20,2,8,3,200.1,200,C,2640.20000,3.81000,4.46000,1.00000,9.95000,0.00000,0.00000,8.27000,9.95000,18.22000,1.20314,45.10000,33.90000,-9.80000,33.70000,-0.11667,44.10000,10.40000,51.60000,8.75000,68.20000,16.60000
physiology,51,20,2,8,4,231.3,231,L,830.10000,1.10000,6.90000,1.00000,5.30000,0.00000,0.00000,8.00000,5.30000,13.30000,0.66250,48.60000,35.80000,-11.20000,31.40000,-2.56667,45.20000,13.80000,53.60000,9.80000,69.00000,15.40000
physiology,84,20,2,8,5,202.3,202,L,1598.10000,2.69000,7.30000,1.00000,11.08000,18.30000,1.00000,9.99000,29.38000,39.37000,2.94094,35.70000,25.20000,-9.18750,32.80000,4.43333,40.10000,7.30000,46.10000,7.00000,55.00000,8.90000
physiology,271,20,2,8,6,245.5,245,M,3648.80000,8.46000,1.39000,1.00000,17.18000,3.90000,1.00000,9.85000,21.08000,30.93000,2.14010,44.70000,36.00000,-7.61250,33.50000,-1.45833,38.70000,5.20000,45.70000,8.16667,51.10000,5.40000
physiology,299,20,2,8,7,248.5,248,N,2199.10000,3.08000,4.64000,1.00000,7.87000,0.00000,0.00000,7.72000,7.87000,15.59000,1.01943,42.00000,41.60000,-0.35000,43.50000,1.10833,43.60000,0.10000,43.10000,-0.58333,56.40000,13.30000
physiology,92,25,2,9,1,200.1,200,C,1425.50000,1.03000,6.48000,1.00000,6.86000,0.00000,0.00000,7.51000,6.86000,14.37000,0.91345,43.00000,46.50000,3.06250,58.50000,7.00000,60.20000,1.70000,63.20000,3.50000,68.20000,5.00000
physiology,281,25,2,9,2,225.2,225,M,2439.00000,4.76000,2.10000,1.00000,13.00000,4.50000,1.00000,6.86000,17.50000,24.36000,2.55102,46.50000,31.60000,-13.03750,35.70000,2.39167,44.60000,8.90000,49.30000,5.48333,61.50000,12.20000
physiology,133,25,2,9,3,244.3,244,C,388.10000,3.31000,6.40000,1.00000,9.61000,0.00000,0.00000,9.71000,9.61000,19.32000,0.98970,51.00000,30.10000,-18.28750,28.40000,-0.99167,43.50000,15.10000,55.70000,14.23333,71.40000,15.70000
physiology,208,25,2,9,4,228.4,228,N,1294.60000,1.95000,7.34000,1.00000,9.11000,0.00000,0.00000,9.29000,9.11000,18.40000,0.98062,47.10000,36.00000,-9.71250,44.00000,4.66667,44.30000,0.30000,46.20000,2.21667,48.70000,2.50000
physiology,50,25,2,9,5,244.5,244,C,1057.50000,5.09000,3.00000,1.00000,8.19000,0.00000,0.00000,8.09000,8.19000,16.28000,1.01236,46.50000,41.80000,-4.11250,44.50000,1.57500,49.00000,4.50000,51.00000,2.33333,63.20000,12.20000
physiology,119,25,2,9,6,226.7,226,D,1560.20000,1.28000,6.90000,1.00000,7.21000,0.00000,0.00000,8.18000,7.21000,15.39000,0.88142,48.60000,37.20000,-9.97500,36.30000,-0.52500,41.80000,5.50000,52.20000,12.13333,66.40000,14.20000
physiology,295,25,2,9,7,228.8,228,N,1684.40000,1.71000,6.98000,1.00000,8.07000,0.00000,0.00000,8.69000,8.07000,16.76000,0.92865,45.10000,38.50000,-5.77500,39.30000,0.46667,39.70000,0.40000,40.20000,0.58333,43.90000,3.70000
physiology,4,30,2,10,1,226.1,226,C,1367.10000,4.11000,4.93000,1.00000,8.46000,0.00000,0.00000,9.04000,8.46000,17.50000,0.93584,42.20000,39.90000,-2.01250,38.50000,-0.81667,38.50000,0.00000,40.20000,1.98333,46.00000,5.80000
physiology,296,30,2,10,2,228.1,228,N,986.80000,3.03000,3.60000,1.00000,5.68000,0.00000,0.00000,6.63000,5.68000,12.31000,0.85671,37.50000,38.50000,0.87500,38.30000,-0.11667,45.10000,6.80000,46.30000,1.40000,55.80000,9.50000
physiology,263,30,2,10,3,201.2,201,M,306.90000,2.86000,4.64000,1.00000,5.69000,0.00000,0.00000,7.50000,5.69000,13.19000,0.75867,38.80000,50.10000,9.88750,60.20000,5.89167,66.70000,6.50000,75.10000,9.80000,88.50000,13.40000
