"","obs","pot","geno","trt","combo","rep","measure","SM","Bv","Br","DMCv","DMCr","B_A","SLA","LA","Rl","Rsa","Rd","Rv","Rt","Rsa_la","srl","ssa"
"41",4816,280,2,10,6,6,"biomass",1308,0.2748,0.5515,0.36106,0.17452,2.00691,174.92284,36.7338,5902.41911,433.4628,0.2338,2.52996,11855.32168,11.80011,10702.48252,785.97063
"42",4826,290,2,10,6,7,"biomass",546.9,0.5767,1.3603,0.37577,0.13008,2.35877,166.90888,81.78535,12977.96724,912.57007,0.2238,5.11299,27667.11864,11.15811,9540.51844,670.85942
"43",4557,21,2,15,7,1,"biomass",2075.3,1.6118,3.0066,0.40723,0.10061,1.86537,203.09368,308.7024,NA,NA,NA,NA,NA,NA,NA,NA
"44",4649,113,2,15,7,2,"biomass",2710.1,0.6265,1.2138,0.32717,0.13139,1.93743,204.47887,106.32901,15680.6507,1124.32142,0.2282,6.41981,35291.4104,10.57399,12918.6445,926.28227
"45",4685,149,2,15,7,3,"biomass",873.7,0.7715,1.7029,0.33498,0.12285,2.20726,195.19018,134.68123,35037.70338,2214.5758,0.2012,11.15419,95544.99534,16.44309,20575.31469,1300.47319
"46",4691,155,2,15,7,4,"biomass",2123.6,0.7551,1.5388,0.38239,0.10853,2.03788,206.3844,134.14986,30607.12067,1900.14435,0.1976,9.39937,96214.65979,14.16434,19890.25258,1234.82217
"47",4714,178,2,15,7,5,"biomass",1660.4,0.4428,0.7277,0.35947,0.09373,1.64341,197.14976,70.97391,4357.53444,380.86204,0.2782,2.64847,7554.45927,5.36623,5988.09185,523.37782
"48",4762,226,2,15,7,6,"biomass",455.7,0.8813,1.4556,0.38863,0.13302,1.65165,172.54107,136.30745,12380.08886,1043.85565,0.2684,7.00593,26578.30374,7.6581,8505.14486,717.13084
"49",4782,246,2,15,7,7,"biomass",1852.2,1.2399,2.1668,0.3379,0.13712,1.74756,220.40044,253.46051,12402.41791,913.33946,0.2344,5.35364,28035.35088,3.60348,5723.84065,421.51535
"50",4553,17,2,20,8,1,"biomass",2002.9,1.8157,2.4966,0.29963,0.09298,1.37501,195.77689,321.0741,44015.52185,3074.3378,0.2223,17.12149,148227.0984,9.57517,17630.18579,1231.40984
"51",4562,26,2,20,8,2,"biomass",2577.1,1.3593,1.3843,0.26104,0.08507,1.01839,214.86503,257.83804,16948.1812,1488.56099,0.2796,10.40137,53969.85451,5.77324,12243.1418,1075.31676
"52",4632,96,2,20,8,3,"biomass",438.9,1.6711,2.2927,0.29528,0.11773,1.37197,206.47305,305.58012,18102.46268,1523.47125,0.2679,10.20218,43152.76631,4.98551,7895.6962,664.48783
"53",4643,107,2,20,8,4,"biomass",1447.7,1.109,1.9529,0.28391,0.12184,1.76096,196.22831,174.6432,20138.99544,1722.36963,0.2722,11.72622,45023.9699,9.86222,10312.35365,881.95485
"54",4650,114,2,20,8,5,"biomass",1265.1,1.0506,1.4645,0.26602,0.09423,1.39397,191.57298,159.00558,18629.73194,1583.38107,0.2705,10.71696,42141.27132,9.95802,12720.88217,1081.17519
"55",4665,129,2,20,8,6,"biomass",862,1.8049,2.5077,0.28373,0.09368,1.38938,219.8702,356.18972,24838.68438,1928.76302,0.2472,11.93392,70184.0566,5.41499,9904.96646,769.13627
"56",4718,182,2,20,8,7,"biomass",1519.7,1.1345,1.3509,0.2681,0.10848,1.19074,208.24361,183.25438,13889.60131,1052.09007,0.2411,6.34485,34410.79549,5.74115,10281.73907,778.80677
"57",4613,77,2,25,9,1,"biomass",632.4,2.0113,2.163,0.2597,0.09183,1.07542,177.27512,296.04946,19483.59474,1529.44724,0.2499,9.55744,63582.13953,5.16619,9007.67209,707.09535
"58",4700,164,2,25,9,2,"biomass",833.8,2.2335,2.6771,0.28094,0.11685,1.19861,201.40055,412.87112,12977.1919,1403.9393,0.3444,12.08341,36423.83787,3.40043,4847.48119,524.42542
"59",4725,189,2,25,9,3,"biomass",1343.6,1.8295,1.8678,0.2555,0.09138,1.02093,218.49624,356.14887,13287.03294,1318.61991,0.3159,10.43311,36848.02092,3.70244,7113.73431,705.9749
"60",4737,201,2,25,9,4,"biomass",599.9,2.3128,3.2842,0.26179,0.12558,1.42001,193.7359,406.84539,25770.88206,2504.01211,0.3093,19.35615,105374.694,6.1547,7846.92834,762.44203
"61",4742,206,2,25,9,5,"biomass",2145.3,1.816,2.8017,0.26501,0.09291,1.54279,208.90341,342.60159,18199.54221,1806.83314,0.316,14.27186,47255.17278,5.27386,6495.89257,644.906
"62",4778,242,2,25,9,6,"biomass",2198.3,2.3199,2.4575,0.26771,0.11606,1.05931,205.85266,432.29059,14943.95691,1445.80554,0.308,11.13305,41011.67442,3.34452,6080.95907,588.32372
"63",4811,275,2,25,9,7,"biomass",2036.5,2.3028,2.7508,0.26614,0.10208,1.19455,216.74274,457.32718,22863.44389,1960.15042,0.2729,13.39675,77522.54545,4.2861,8311.56169,712.57468
