obs,pot,geno,trt,combo,rep,measure,SM,Bv,Br,DMCv,DMCr,B_A,SLA,LA,Rl,Rsa,Rd,Rv,Rt,Rsa_la,srl,ssa
4562,26,2,20,8,2,biomass,2577.10000,1.35930,1.38430,0.26104,0.08507,1.01839,214.86503,257.83804,16948.18120,1488.56099,0.27960,10.40137,53969.85451,5.77324,12243.14180,1075.31676
4632,96,2,20,8,3,biomass,438.90000,1.67110,2.29270,0.29528,0.11773,1.37197,206.47305,305.58012,18102.46268,1523.47125,0.26790,10.20218,43152.76631,4.98551,7895.69620,664.48783
4643,107,2,20,8,4,biomass,1447.70000,1.10900,1.95290,0.28391,0.12184,1.76096,196.22831,174.64320,20138.99544,1722.36963,0.27220,11.72622,45023.96990,9.86222,10312.35365,881.95485
4650,114,2,20,8,5,biomass,1265.10000,1.05060,1.46450,0.26602,0.09423,1.39397,191.57298,159.00558,18629.73194,1583.38107,0.27050,10.71696,42141.27132,9.95802,12720.88217,1081.17519
4665,129,2,20,8,6,biomass,862.00000,1.80490,2.50770,0.28373,0.09368,1.38938,219.87020,356.18972,24838.68438,1928.76302,0.24720,11.93392,70184.05660,5.41499,9904.96646,769.13627
4718,182,2,20,8,7,biomass,1519.70000,1.13450,1.35090,0.26810,0.10848,1.19074,208.24361,183.25438,13889.60131,1052.09007,0.24110,6.34485,34410.79549,5.74115,10281.73907,778.80677
4613,77,2,25,9,1,biomass,632.40000,2.01130,2.16300,0.25970,0.09183,1.07542,177.27512,296.04946,19483.59474,1529.44724,0.24990,9.55744,63582.13953,5.16619,9007.67209,707.09535
4700,164,2,25,9,2,biomass,833.80000,2.23350,2.67710,0.28094,0.11685,1.19861,201.40055,412.87112,12977.19190,1403.93930,0.34440,12.08341,36423.83787,3.40043,4847.48119,524.42542
4725,189,2,25,9,3,biomass,1343.60000,1.82950,1.86780,0.25550,0.09138,1.02093,218.49624,356.14887,13287.03294,1318.61991,0.31590,10.43311,36848.02092,3.70244,7113.73431,705.97490
4737,201,2,25,9,4,biomass,599.90000,2.31280,3.28420,0.26179,0.12558,1.42001,193.73590,406.84539,25770.88206,2504.01211,0.30930,19.35615,105374.69400,6.15470,7846.92834,762.44203
4742,206,2,25,9,5,biomass,2145.30000,1.81600,2.80170,0.26501,0.09291,1.54279,208.90341,342.60159,18199.54221,1806.83314,0.31600,14.27186,47255.17278,5.27386,6495.89257,644.90600
4778,242,2,25,9,6,biomass,2198.30000,2.31990,2.45750,0.26771,0.11606,1.05931,205.85266,432.29059,14943.95691,1445.80554,0.30800,11.13305,41011.67442,3.34452,6080.95907,588.32372
4811,275,2,25,9,7,biomass,2036.50000,2.30280,2.75080,0.26614,0.10208,1.19455,216.74274,457.32718,22863.44389,1960.15042,0.27290,13.39675,77522.54545,4.28610,8311.56169,712.57468
4571,35,2,30,10,1,biomass,2057.60000,1.24900,1.76540,0.28592,0.09260,1.41345,238.71429,269.74714,9038.41637,952.33997,0.33540,7.97152,27841.99119,3.53049,5119.75551,539.44714
4626,90,2,30,10,2,biomass,2470.20000,0.77490,1.01050,0.29347,0.10439,1.30404,202.57677,141.80374,8439.30428,682.02013,0.25720,4.39131,28418.75309,4.80961,8351.61235,674.93333
4699,163,2,30,10,3,biomass,1203.10000,1.37740,1.55320,0.30061,0.10703,1.12763,225.90679,266.57001,13892.06656,1058.86461,0.24260,6.41432,48734.10759,3.97218,8944.15823,681.73101
4722,186,2,30,10,4,biomass,1839.30000,1.33190,1.43100,0.28291,0.11216,1.07440,220.34875,264.41850,11125.97311,882.15174,0.25240,5.56675,32944.45055,3.33620,7774.96374,616.45824
4739,203,2,30,10,5,biomass,950.10000,2.58130,3.87270,0.28727,0.15026,1.50029,209.89425,510.04303,31895.09715,2491.18309,0.24860,15.49834,106263.56960,4.88426,8235.88121,643.26777
4780,244,2,30,10,6,biomass,4980.80000,1.20990,NA,0.25787,NA,NA,244.94579,266.99091,7298.10565,469.99729,0.20500,2.41265,27249.44988,1.76035,NA,NA
