measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Anet5_0907,gs5_0907,fo5_0907,fm5_0907,fv5_0907,E5_0907,WUEi5_0907,Anet6_0913,gs6_0913,fo6_0913,fm6_0913,fv6_0913,E6_0913,WUEi6_0913,Anet7_0920,gs7_0920,fo7_0920,fm7_0920,fv7_0920,E7_0920,WUEi7_0920,Anet8_0925,gs8_0925,fo8_0925,fm8_0925,fv8_0925,E8_0925,WUEi8_0925,Anet9_1004,gs9_1004,fo9_1004,fm9_1004,fv9_1004,E9_1004,WUEi9_1004,Anet10_1011,gs10_1011,fo10_1011,fm10_1011,fv10_1011,E10_1011,WUEi10_1011,uAnet,ugs,ufo,ufm,ufv,uE,uWUEi
physiology,97,30,1,5,2,251.2,251,Q,644.1,12.2,0.085,43.8,184.1,0.762,3.29,3.708206687,18.4,0.11,52.5,216.5,0.758,4.16,4.423076923,18.1,0.117,52.4,206,0.746,4.21,4.299287411,17.4,0.135,65.3,248.9,0.737,7.15,2.433566434,9.44,0.0725,65.1,252.9,0.743,2.43,3.884773663,21.4,0.141,68.9,295.5,0.767,3.46,6.184971098,16.15666667,0.110083333,58,233.9833333,0.752166667,4.116666667,4.155647036
physiology,98,15,1,2,3,253.2,253,Q,533.8,13,0.0776,39.3,136.5,0.712,2.93,4.436860068,5.28,0.0356,41.9,174.5,0.76,1.48,3.567567568,15.3,0.109,45.3,201,0.775,3.93,3.893129771,9.03,0.0699,40.9,147.6,0.723,4.09,2.207823961,13.8,0.0948,55.2,224.9,0.754,3.25,4.246153846,14.9,0.0652,58.9,243.6,0.758,1.68,8.869047619,11.885,0.07535,46.91666667,188.0166667,0.747,2.893333333,4.536763805
physiology,99,25,3,14,7,186.6,186,G,677,22.8,0.126,41.5,163.9,0.747,4.81,4.74012474,29.6,0.174,42.7,183.8,0.768,6.18,4.789644013,23.1,0.149,91,423.1,0.785,5.36,4.309701493,16.3,0.0927,79.7,314,0.746,5.22,3.122605364,11.8,0.0601,89.3,342.4,0.739,2.24,5.267857143,18.7,0.0924,91.2,394.3,0.769,2.38,7.857142857,20.38333333,0.1157,72.56666667,303.5833333,0.759,4.365,5.014512602
physiology,102,15,1,2,6,251.5,251,Q,997.4,9.56,0.0698,50.7,194.4,0.739,2.73,3.501831502,11,0.0607,53,215.9,0.755,2.42,4.545454545,10.8,0.09,56.2,231,0.757,3.3,3.272727273,11.6,0.0942,43.8,171.5,0.745,5.36,2.164179104,15.1,0.0673,57.2,216.3,0.736,2.4,6.291666667,9.44,0.0419,47.4,208.6,0.773,1.07,8.822429907,11.25,0.07065,51.38333333,206.2833333,0.750833333,2.88,4.7663815
physiology,105,10,1,1,3,172.4,172,Q,685,5.59,0.0895,25,95.8,0.739,3.27,1.709480122,9.2,0.046,44.1,163.3,0.73,1.86,4.946236559,5.89,0.0345,68.1,250,0.728,1.28,4.6015625,8.3,0.0449,54.2,220.4,0.754,2.73,3.04029304,8.86,0.0376,41.4,142.1,0.709,1.4,6.328571429,7.69,0.0435,49.9,216.4,0.769,1.09,7.055045872,7.588333333,0.049333333,47.11666667,181.3333333,0.738166667,1.938333333,4.613531587
physiology,112,20,3,13,2,153.1,153,R,1897.7,12.5,0.0807,46.6,206.2,0.774,3.58,3.491620112,24.4,0.143,39.2,177.4,0.779,5.28,4.621212121,19,0.11,99.4,448.7,0.779,3.92,4.846938776,18.5,0.129,97.8,349.1,0.72,3.11,5.948553055,12.2,0.0611,82.4,320.9,0.743,2.26,5.398230088,12.2,0.0537,88.5,371.3,0.762,1.35,9.037037037,16.46666667,0.09625,75.65,312.2666667,0.7595,3.25,5.557265198
physiology,115,10,1,1,6,255.6,255,R,569.6,7.3,0.103,41.9,176.7,0.763,4.35,1.67816092,3.09,0.0205,33.3,129.4,0.743,0.861,3.588850174,5.79,0.0768,33,115.2,0.714,2.75,2.105454545,3.77,0.0251,41.3,163,0.747,0.677,5.568685377,5.58,0.0349,40.7,155.1,0.737,1.28,4.359375,8.04,0.042,41.2,178.2,0.769,1.05,7.657142857,5.595,0.050383333,38.56666667,152.9333333,0.7455,1.828,4.159611479
physiology,119,25,2,9,6,226.7,226,D,1560.2,7.84,0.049,52.4,214.9,0.756,2.33,3.364806867,24.4,0.141,64.3,268.4,0.76,5.18,4.71042471,27,0.168,55.4,208.4,0.734,5.84,4.623287671,24.8,0.129,101.3,411.9,0.754,3.46,7.167630058,24.5,0.129,106.6,449.1,0.763,4.38,5.593607306,26.2,0.146,119,499.3,0.762,3.46,7.572254335,22.45666667,0.127,83.16666667,342,0.754833333,4.108333333,5.505335158
physiology,124,15,1,2,4,257.2,257,F,1008.7,12.1,0.124,42.5,174.5,0.756,4.99,2.424849699,4.97,0.0383,51.2,214.4,0.761,1.44,3.451388889,13,0.118,40.9,175.2,0.766,4.28,3.037383178,20.1,0.185,39.4,165.9,0.763,4.94,4.068825911,11.2,0.0823,44.5,185.1,0.759,2.82,3.971631206,11.8,0.0781,66.3,277.2,0.761,2.08,5.673076923,12.195,0.104283333,47.46666667,198.7166667,0.761,3.425,3.771192634
physiology,125,25,3,14,3,186.5,186,G,1774.2,27.6,0.199,58.8,220.6,0.733,7.73,3.570504528,31.7,0.169,56.4,237.7,0.763,6.16,5.146103896,23.1,0.132,63.8,265.3,0.76,4.79,4.822546973,22.5,0.131,74.2,269.2,0.725,3.68,6.114130435,14.5,0.0932,102.2,353.3,0.711,3.33,4.354354354,13.9,0.0625,78.2,345.8,0.774,1.7,8.176470588,22.21666667,0.131116667,72.26666667,281.9833333,0.744333333,4.565,5.364018462
physiology,126,10,3,11,7,191.6,191,G,634.4,26.3,0.179,44.5,170.5,0.739,7.24,3.632596685,3.81,0.0157,50.8,218.8,0.768,0.706,5.396600567,9.77,0.0639,65.1,269.7,0.759,2.39,4.087866109,15.5,0.0843,54,192.9,0.72,2.62,5.916030534,6.94,0.0325,60.6,231.1,0.738,1.26,5.507936508,3.04,0.0157,48.9,209.9,0.767,0.444,6.846846847,10.89333333,0.065183333,53.98333333,215.4833333,0.7485,2.443333333,5.231312875
physiology,127,20,2,8,1,244.1,244,C,1272.9,20,0.129,38.6,149.7,0.742,5.33,3.752345216,15.8,0.108,46,204.8,0.775,4.24,3.726415094,17.8,0.111,59.8,250.1,0.761,4.07,4.373464373,3.88,0.0465,88.7,366.2,0.758,1.52,2.552631579,20.2,0.106,108.9,437.2,0.751,3.85,5.246753247,17.5,0.0968,112.2,459.8,0.756,2.6,6.730769231,15.86333333,0.09955,75.7,311.3,0.757166667,3.601666667,4.397063123
physiology,128,10,1,1,1,305.1,305,R,951,24.2,0.148,57.3,219.3,0.739,6.45,3.751937984,6.59,0.0521,41,175.2,0.766,2.09,3.153110048,3.63,0.0465,54,199.6,0.73,1.75,2.074285714,18.7,0.143,56.8,226.7,0.749,3.95,4.734177215,6.13,0.0315,52.6,210.3,0.75,1.18,5.194915254,8.38,0.0446,50.3,211.3,0.762,1.35,6.207407407,11.27166667,0.077616667,52,207.0666667,0.749333333,2.795,4.185972271
physiology,131,20,3,13,4,186.4,186,G,1382.7,24.7,0.133,49.8,204,0.756,6,4.116666667,28,0.148,51.1,229.2,0.777,5.35,5.23364486,12.6,0.0922,72.4,329.8,0.78,3.43,3.673469388,22.7,0.125,74,283,0.739,3.93,5.776081425,14.3,0.079,99.7,407.8,0.756,2.93,4.880546075,4.75,0.0289,104.1,465.5,0.776,0.972,4.886831276,17.84166667,0.101016667,75.18333333,319.8833333,0.764,3.768666667,4.761206615
physiology,133,25,2,9,3,244.3,244,C,388.1,21.9,0.174,58.5,229,0.744,8.17,2.680538556,26.6,0.178,42.3,165.6,0.745,6.32,4.208860759,26.1,0.169,52.7,218.8,0.759,6.1,4.278688525,19.4,0.129,104.1,377.9,0.725,4.05,4.790123457,20.1,0.091,100.6,367.5,0.726,3.33,6.036036036,18.9,0.106,106.7,451.8,0.764,3.22,5.869565217,22.16666667,0.141166667,77.48333333,301.7666667,0.743833333,5.198333333,4.643968758
physiology,134,25,1,4,4,255.3,255,R,1037.8,14.6,0.21,31.8,131.3,0.758,8.53,1.711606096,15.7,0.199,34.2,144.7,0.763,6.94,2.262247839,19.4,0.164,63,265.6,0.763,6.09,3.185550082,15.9,0.168,62.2,255.8,0.757,5.27,3.017077799,16.8,0.0916,68.8,271.5,0.747,3.39,4.955752212,9.45,0.0519,90.2,386.7,0.767,1.75,5.4,15.30833333,0.147416667,58.36666667,242.6,0.759166667,5.328333333,3.422039005
physiology,136,15,3,12,4,191.3,191,F,1771.8,28.8,0.159,50.1,217.3,0.77,7.2,4,9.28,0.0483,51.7,240.1,0.785,1.93,4.808290155,17.6,0.102,64.1,275.3,0.767,3.89,4.524421594,11.3,0.0488,60.6,226.8,0.733,1.74,6.494252874,23.5,0.126,75.7,307.6,0.754,4.56,5.153508772,12.6,0.0527,80.6,348.3,0.769,1.81,6.961325967,17.18,0.089466667,63.8,269.2333333,0.763,3.521666667,5.323633227
physiology,137,10,1,1,2,257.1,257,F,1434,11.3,0.182,25,91.9,0.727,7.78,1.452442159,13,0.109,29.9,125.1,0.761,3.85,3.376623377,2.96,0.0207,52.8,202.8,0.74,0.798,3.709273183,3.56,0.0485,48.3,182.2,0.735,1.62,2.197530864,5.59,0.08,43.3,173.5,0.751,2.8,1.996428571,-0.293,0.0109,26.1,97.4,0.732,0.342,-0.856725146,6.0195,0.075183333,37.56666667,145.4833333,0.741,2.865,1.979262168
physiology,140,20,2,8,3,200.1,200,C,2640.2,18.8,0.127,40.7,146.5,0.722,5.8,3.24137931,27.9,0.133,35.3,151.9,0.768,4.6,6.065217391,24.3,0.135,70.3,297.3,0.764,5.1,4.764705882,20.7,0.113,101.6,434.4,0.766,3.61,5.734072022,20.7,0.0991,90.2,329.7,0.726,3.72,5.564516129,10.5,0.0464,99.9,421.9,0.763,1.58,6.64556962,20.48333333,0.108916667,73,296.95,0.7515,4.068333333,5.335910059
physiology,141,10,1,1,7,251.6,251,R,388.5,20.3,0.121,26.7,109.3,0.755,5.83,3.481989708,8.91,0.045,38.9,145.1,0.732,1.72,5.180232558,6.9,0.0332,50.7,197.8,0.744,1.32,5.227272727,5.44,0.0292,41.6,177.8,0.766,0.965,5.637305699,11.8,0.0489,46,187.1,0.754,1.95,6.051282051,1.94,0.0337,54.7,225.5,0.757,1.19,1.630252101,9.215,0.051833333,43.1,173.7666667,0.751333333,2.1625,4.534722474
physiology,147,10,3,11,6,153.5,153,R,581.8,31,0.212,47.8,197,0.757,9.56,3.242677824,10.4,0.0501,50.7,205,0.753,1.98,5.252525253,9.61,0.0399,56.6,252.3,0.776,1.68,5.720238095,2.27,0.0154,52.5,193.4,0.728,0.54,4.203703704,7.54,0.0326,52.5,222,0.764,1.3,5.8,7.56,0.121,56.3,253.5,0.778,4.1,1.843902439,11.39666667,0.0785,52.73333333,220.5333333,0.759333333,3.193333333,4.343841219
physiology,151,10,2,6,1,227.1,227,B,1882,33.2,0.206,47.4,169.8,0.721,10.4,3.192307692,10.2,0.061,52.1,187.8,0.723,2.44,4.180327869,4.58,0.0283,51.4,195,0.736,1.18,3.881355932,3.87,0.0181,62.5,204,0.694,0.68,5.691176471,4.38,0.0227,65.9,230.5,0.714,0.937,4.674493063,5.56,0.0514,78.3,337.9,0.768,1.67,3.329341317,10.29833333,0.064583333,59.6,220.8333333,0.726,2.8845,4.158167057
physiology,152,10,3,11,2,184.2,184,F,1704.2,11.5,0.116,63.3,254.5,0.751,6.51,1.766513057,9.04,0.0449,39.9,150.1,0.734,1.8,5.022222222,3.48,0.0207,41.8,158.6,0.736,0.938,3.710021322,1.1,0.00897,42.5,127,0.665,0.326,3.374233129,10.8,0.0523,57.4,233.5,0.754,2.07,5.217391304,10.8,0.049,63,257.5,0.756,1.63,6.625766871,7.786666667,0.048645,51.31666667,196.8666667,0.732666667,2.212333333,4.286024651
physiology,159,15,1,2,7,159.7,159,K,1822.3,7.26,0.0351,28.7,121.1,0.763,1.49,4.872483221,7.6,0.0408,27.1,113.7,0.762,1.71,4.444444444,20.2,0.158,48.5,193.4,0.749,6.51,3.102918587,18.3,0.16,66.5,267.7,0.751,5.17,3.539651838,15.8,0.0949,49,193.5,0.747,3.52,4.488636364,17.4,0.0799,46,191.5,0.76,2.48,7.016129032,14.42666667,0.094783333,44.3,180.15,0.755333333,3.48,4.577377248
