,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
"b[3]","urgr","(trt)20","beta",2.43960698496557,0.233274380967772,2.28209131700179,2.59748036349041,1.97893140829111,2.8923467229854,0.999995601415971,"none","none",1
"b[4]","urgr","(trt)25","beta",2.43013428880401,0.2301803146223,2.27574937289041,2.58500811861083,1.9739961826243,2.88208366444325,1.00020780347213,"none","none",1
"b[5]","urgr","(trt)30","beta",1.30023617686032,0.229438518538658,1.14447262316375,1.45885414735492,0.846811852874477,1.73905368371469,0.999963203442504,"none","none",1
"b[6]","urgr","(geno)2","beta",0.332949981325157,0.223878295158364,0.180692752559578,0.486749270208071,-0.107660868951339,0.767137011974151,1.00046466622987,"none","none",0.88
"b[7]","urgr","(geno)5","beta",0.177338696338495,0.230768412201434,0.0227064153435787,0.331117928777137,-0.278579806039978,0.626500924353353,1.00024495675799,"none","none",0.69
"b[8]","urgr","(trt)15:(geno)2","beta",0.153838048677718,0.321984421471218,-0.0640511902590075,0.372132112754172,-0.466465804221686,0.791025467060506,1.00039906849863,"none","none",0.63
"b[9]","urgr","(trt)20:(geno)2","beta",0.292949001907863,0.322552625178046,0.0727453976905292,0.510444263289308,-0.333706297254802,0.92782790490962,1.00013234606365,"none","none",0.74
"b[10]","urgr","(trt)25:(geno)2","beta",0.674767566175454,0.321111712719117,0.456092120780017,0.891923626873888,0.0442013796771877,1.31073434503449,1.00007787186523,"none","none",1
"b[11]","urgr","(trt)30:(geno)2","beta",0.580086976434066,0.320397445338739,0.362686893290617,0.795614339484963,-0.0516387671795517,1.21111311194869,1.0001546688314,"none","none",0.96
"b[12]","urgr","(trt)15:(geno)5","beta",-0.259093176045698,0.328751795458868,-0.48231198907461,-0.0361138463250105,-0.900780549642699,0.381035881565841,1.00026230914064,"none","none",0.7
"b[13]","urgr","(trt)20:(geno)5","beta",-1.24201866121744,0.330662438110918,-1.46154923780777,-1.02322219199796,-1.89496766470235,-0.59395613329041,1.00000472148201,"none","none",1
"b[14]","urgr","(trt)25:(geno)5","beta",-1.24677849162857,0.324675002506576,-1.46762558334926,-1.02803372054578,-1.87369377014607,-0.604195626309334,1.00043937000987,"none","none",1
"b[15]","urgr","(trt)30:(geno)5","beta",-0.908044873681617,0.327317780744424,-1.13272732362561,-0.685134453721377,-1.55164293925404,-0.266559634032092,0.999999875460591,"none","none",1
"G_E[1]","urgr","no_descr","G11[R]-G2[R]",-0.62589898323302,0.237047878263683,-0.785983963725189,-0.46683096054645,-1.0936536818756,-0.165347127432055,0.99992849605183,"none","none",1
"G_E[2]","urgr","no_descr","G11[R]-G5",1.06467996487895,0.237631040602235,0.904649958864038,1.22243926578457,0.603062611496919,1.5424917469665,1.00006561323976,"none","none",1
"G_E[3]","urgr","no_descr","G2[R]-G5",1.69057894811197,0.23657253474566,1.53370321677824,1.84899561173996,1.2253857071918,2.15034331641788,0.999916161289536,"none","none",1
"T_E[1]","urgr","no_descr","trt_effect",1.66274072233914,0.181510210330675,1.541867276884,1.78640174281405,1.30197678435984,2.01224233475828,1.00025409683524,"none","none",1
"I_E[1]","urgr","no_descr","int_effect",-0.244286701172278,0.217270126599725,-0.391648273569748,-0.0998515422021185,-0.664215820972852,0.185991985733712,1.00039162496227,"none","none",0.78
"Y[1]","urgr","no_descr","posterior value",0.108767581921008,0.16487070098266,-0.00398219834876893,0.218476033988152,-0.209651429251697,0.432983053723321,1.00048678018569,"G11","10",0.67
"Y[2]","urgr","no_descr","posterior value",0.589753020647678,0.166929232125656,0.477659867146425,0.702949872183247,0.264647524064312,0.919850747637126,1.00002883420176,"G11","15",1
"Y[3]","urgr","no_descr","posterior value",2.54837456688658,0.167160572176989,2.43578147635186,2.66034369659377,2.22087938913249,2.87381687516888,1.00007279359099,"G11","20",1
"Y[4]","urgr","no_descr","posterior value",2.53890187072502,0.165397383601853,2.42845514555467,2.64969012037857,2.21243025686188,2.86394704280659,0.999967708202606,"G11","25",1
"Y[5]","urgr","no_descr","posterior value",1.40900375878133,0.162396686692062,1.29907652099237,1.51981818667556,1.08741037483495,1.72304775914895,0.999999313660089,"G11","Sat'd",1
