,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
b[15],DMCr,(trt)30:(geno)5,beta,0.17376352,0.103594496,0.104536924,0.243021365,-0.034043335,0.372688616,1.000135276,none,none,0.92
G_E[1],DMCr,no_descr,G11[R]-G2[R],0.032264938,0.008870663,0.026375295,0.03805143,0.014789089,0.049772261,1.000018947,none,none,1
G_E[2],DMCr,no_descr,G11[R]-G5,0.02510602,0.009019368,0.019005759,0.031198124,0.007394741,0.042950037,1.000026048,none,none,1
G_E[3],DMCr,no_descr,G2[R]-G5,-0.007158918,0.008944492,-0.01321462,-0.001196217,-0.024723336,0.010467843,0.999999054,none,none,0.7
T_E[1],DMCr,no_descr,trt_effect,-0.381157208,0.056309031,-0.41957089,-0.345020247,-0.486512747,-0.266499547,1.000164773,none,none,1
I_E[1],DMCr,no_descr,int_effect,0.025704315,0.066241513,-0.018083289,0.070244121,-0.108004103,0.153976865,1.000246405,none,none,0.59
Y[1],DMCr,no_descr,posterior value,0.19324167,0.009752822,0.186831683,0.199772365,0.173719823,0.211987051,1.000155352,G11,10,1
Y[2],DMCr,no_descr,posterior value,0.156182216,0.006440829,0.151918622,0.160528601,0.143363276,0.168412337,0.999900968,G11,15,1
Y[3],DMCr,no_descr,posterior value,0.13469463,0.006350713,0.13050471,0.138985653,0.122061651,0.147016354,0.999950444,G11,20,1
Y[4],DMCr,no_descr,posterior value,0.118272687,0.006453024,0.114036743,0.122634923,0.105253128,0.130665109,1.000087639,G11,25,1
Y[5],DMCr,no_descr,posterior value,0.121973056,0.006305472,0.117852305,0.126261586,0.109298473,0.134174354,0.999827151,G11,Sat'd,1
Y[6],DMCr,no_descr,posterior value,0.168934623,0.006493666,0.164604627,0.173316587,0.15589204,0.181471548,0.999886856,G2,10,1
Y[7],DMCr,no_descr,posterior value,0.117792502,0.006362557,0.113560495,0.122175641,0.105046874,0.130093565,0.999954779,G2,15,1
Y[8],DMCr,no_descr,posterior value,0.102429692,0.006311515,0.098243112,0.106745782,0.08988585,0.114422525,0.999954029,G2,20,1
Y[9],DMCr,no_descr,posterior value,0.105621657,0.006371658,0.10143852,0.10991629,0.092906713,0.117743212,0.999914209,G2,25,1
Y[10],DMCr,no_descr,posterior value,0.107882966,0.006937664,0.103276429,0.112580166,0.093916244,0.12121465,0.999843767,G2,Sat'd,1
Y[11],DMCr,no_descr,posterior value,0.144765184,0.006447148,0.14054141,0.149128724,0.131866895,0.157291041,1.000170823,G5,10,1
Y[12],DMCr,no_descr,posterior value,0.120629823,0.006313733,0.116462244,0.124883695,0.10803388,0.13294351,1.000091636,G5,15,1
Y[13],DMCr,no_descr,posterior value,0.109588609,0.00637251,0.105439535,0.113915938,0.096681912,0.121688974,0.999926448,G5,20,1
Y[14],DMCr,no_descr,posterior value,0.106059213,0.006370992,0.101892734,0.110335004,0.093152216,0.11827773,0.999958245,G5,25,1
Y[15],DMCr,no_descr,posterior value,0.108784991,0.006312546,0.104607691,0.113047958,0.096198303,0.120898487,0.99996516,G5,Sat'd,1
b[1],A_B,(Intercept),beta,-0.774788465,0.087175395,-0.829709441,-0.714592346,-0.960658417,-0.618448897,1.001363109,none,none,1
b[2],A_B,(trt)15,beta,0.24961241,0.112070973,0.174370174,0.322658851,0.030969372,0.472003971,1.000992049,none,none,1
b[3],A_B,(trt)20,beta,0.45125643,0.104666366,0.380388274,0.517899334,0.255096624,0.667343785,1.001514796,none,none,1
b[4],A_B,(trt)25,beta,0.666819725,0.098819753,0.597875097,0.730474081,0.485612068,0.874536524,1.000850581,none,none,1
b[5],A_B,(trt)30,beta,0.564970372,0.100803995,0.496727178,0.629278006,0.374245147,0.771176528,1.000982041,none,none,1
b[6],A_B,(geno)2,beta,0.029812978,0.123936448,-0.051264446,0.109762301,-0.211676016,0.275434147,1.000817574,none,none,0.57
b[7],A_B,(geno)5,beta,0.345412969,0.107873087,0.272747261,0.415798566,0.13738732,0.562241537,1.001343694,none,none,1
b[8],A_B,(trt)15:(geno)2,beta,-0.102263085,0.160946556,-0.207778125,0.002612559,-0.417800615,0.21958058,1.000750173,none,none,0.66
b[9],A_B,(trt)20:(geno)2,beta,0.002976772,0.148357387,-0.094680866,0.101707972,-0.291580594,0.296261249,1.000894961,none,none,0.5
b[10],A_B,(trt)25:(geno)2,beta,-0.104614696,0.141957982,-0.197733468,-0.011225771,-0.386715441,0.171767411,1.000507657,none,none,0.69
b[11],A_B,(trt)30:(geno)2,beta,-0.061254056,0.147102651,-0.159771615,0.037262635,-0.34949595,0.226194267,1.000783485,none,none,0.61
b[12],A_B,(trt)15:(geno)5,beta,-0.104263094,0.140471398,-0.196925221,-0.009990352,-0.384574868,0.170837831,1.000710377,none,none,0.69
b[13],A_B,(trt)20:(geno)5,beta,-0.120190463,0.130627458,-0.206113935,-0.033416351,-0.379550634,0.135562976,1.001207492,none,none,0.74
